台產,	2832
Year,最高價,日期,最低價,日期,收盤平均價
2000,33.50,5/20,10.50,11/20,24.83
2001,16.90,3/27,10.90,11/28,13.53
2002,15.50,4/22,9.90,10/08,12.15
2003,14.15,10/23,10.85,1/06,11.87
2004,24.40,3/10,12.75,1/02,18.39
2005,19.20,1/04,13.50,10/20,15.81
2006,21.20,5/26,14.70,1/04,17.42
2007,32.75,11/01,19.80,3/14,24.84
2008,33.05,5/07,12.30,11/20,23.55
2009,30.00,10/27,11.85,3/04,20.84
2010,29.45,12/31,21.45,10/29,26.14
2011,30.20,1/03,19.50,12/19,24.37
2012,23.95,3/23,19.15,7/13,20.84
2013,25.50,12/04,20.95,7/09,22.42
2014,24.85,1/13,21.60,11/07,23.17
2015,24.55,5/11,19.15,8/24,22.31
2016,21.70,3/14,18.25,11/09,19.80
2017,20.60,12/18,18.45,1/16,19.47
2018,21.40,6/22,19.25,12/28,20.50
