鈺創,	5351
Year,最高價,日期,最低價,日期,收盤平均價
2000,190.00,03/09,37.60,12/30,104.73
2001,71.50,02/16,14.70,10/08,42.03
2002,65.00,03/13,18.50,12/23,36.52
2003,27.80,07/22,14.55,05/21,20.98
2004,67.00,04/14,17.00,11/29,35.04
2005,40.20,07/28,18.60,10/28,24.86
2006,50.10,04/06,25.95,06/21,34.79
2007,49.10,07/25,24.70,12/18,36.96
2008,29.80,03/28,5.50,11/21,18.35
2009,27.65,12/31,6.79,01/21,16.88
2010,29.40,01/14,20.05,09/01,25.40
2011,24.45,01/27,8.33,12/19,17.13
2012,13.15,02/15,6.51,11/01,9.88
2013,17.20,06/06,8.20,02/05,12.81
2014,18.90,12/31,13.00,02/05,16.09
2015,22.60,03/25,8.73,08/25,17.13
2016,14.65,01/04,10.05,05/16,12.88
2017,17.15,11/01,10.65,05/18,14.07
