臺鹽,	1737
Year,最高價,日期,最低價,日期,收盤平均價
2003,36.00,12/24,20.60,11/18,29.24
2004,53.00,3/08,30.00,1/02,39.27
2005,39.50,1/03,18.50,12/19,28.88
2006,25.60,5/11,16.05,9/14,19.26
2007,36.20,7/26,18.55,3/06,24.47
2008,29.95,2/26,9.11,10/28,19.20
2009,23.70,8/03,11.40,1/21,18.07
2010,28.60,10/04,17.30,2/06,21.47
2011,34.35,8/11,19.00,12/20,24.70
2012,26.00,2/21,19.05,10/29,21.69
2013,32.50,3/26,20.25,2/18,25.13
2014,30.95,1/02,23.00,10/16,26.49
2015,30.25,12/31,17.65,8/24,24.41
2016,36.40,1/08,26.05,5/13,29.85
2017,32.15,2/22,27.25,12/08,29.51
