強茂,	2481
Year,最高價,日期,最低價,日期,收盤平均價
2001,44.70,12/12,18.00,9/24,29.31
2002,53.50,3/22,21.40,10/07,32.66
2003,39.30,11/17,21.20,3/17,30.67
2004,41.50,4/14,19.70,7/20,27.95
2005,23.60,3/14,9.22,10/28,16.65
2006,22.50,12/20,11.60,6/09,16.41
2007,64.00,7/26,20.50,1/12,36.67
2008,37.60,1/04,8.49,11/21,22.78
2009,28.35,12/16,10.10,1/21,19.02
2010,41.30,10/13,24.15,2/06,32.27
2011,43.35,2/21,11.10,11/24,27.98
2012,20.75,2/22,9.50,11/01,13.02
2013,14.25,12/31,10.25,8/28,11.86
2014,16.95,6/03,11.55,10/16,14.52
2015,15.75,3/20,7.30,8/25,12.65
2016,20.80,3/11,12.55,1/18,15.88
2017,35.35,12/01,16.20,1/17,21.00
2018,70.10,6/04,19.95,10/26,40.12
