農林,	2913
Year,最高價,日期,最低價,日期,收盤平均價
2000,32.30,2/11,3.76,11/24,14.42
2001,9.25,2/20,2.94,7/19,5.03
2002,8.25,4/25,2.85,9/30,4.70
2003,5.85,11/06,2.90,5/02,4.35
2004,11.55,2/11,4.70,9/21,6.81
2005,8.25,1/19,3.80,10/19,5.68
2006,9.16,12/05,3.80,3/23,6.50
2007,34.80,7/19,6.35,1/12,13.62
2008,32.00,4/16,8.07,10/28,18.16
2009,22.00,9/30,9.31,3/03,16.15
2010,22.50,1/07,15.00,2/06,18.93
2011,23.80,1/04,11.25,12/20,17.30
2012,17.80,3/05,12.35,1/13,15.08
2013,26.80,12/25,15.60,1/17,19.10
2014,29.85,2/12,15.00,10/16,20.56
2015,19.05,1/05,11.80,8/25,15.57
2016,16.75,8/09,13.20,1/18,14.64
2017,17.90,5/26,14.00,1/05,16.01
