南紡,	1440
Year,最高價,日期,最低價,日期,收盤平均價
2000,12.40,2/21,2.89,11/21,6.97
2001,5.90,1/29,2.80,7/18,3.76
2002,8.00,6/18,3.46,1/02,5.61
2003,11.00,11/05,5.45,4/30,7.94
2004,12.90,2/11,7.90,7/23,9.92
2005,11.75,1/03,6.40,10/28,8.04
2006,16.80,12/27,5.69,3/28,7.99
2007,19.50,10/01,11.35,12/21,15.35
2008,19.30,4/17,5.01,10/28,11.94
2009,14.10,7/09,5.88,3/03,10.07
2010,24.20,11/10,10.80,2/06,15.59
2011,23.70,1/05,9.30,12/20,16.50
2012,16.05,3/07,10.05,1/02,12.91
2013,23.80,10/08,13.60,6/21,16.47
2014,23.55,3/26,15.50,10/16,19.23
2015,18.70,1/05,12.10,8/25,15.60
2016,15.15,7/22,11.45,11/14,12.94
2017,16.20,3/24,12.10,1/03,13.65
2018,15.35,6/05,11.85,10/29,13.27
2019,13.40,5/28,10.35,12/05,11.75
