恩德,	1528
Year,最高價,日期,最低價,日期,收盤平均價
2000,30.90,9/11,14.90,11/21,20.16
2001,23.00,3/27,6.40,10/09,13.34
2002,12.05,4/08,6.10,10/08,8.33
2003,13.50,12/04,6.60,5/02,9.46
2004,15.20,2/12,7.60,7/21,9.70
2005,15.05,7/26,7.75,4/19,9.61
2006,18.15,12/29,11.00,3/08,13.87
2007,28.10,7/18,16.40,12/21,20.79
2008,18.90,2/27,6.50,11/21,13.51
2009,12.10,11/09,5.61,1/21,8.75
2010,19.75,9/20,9.87,2/06,14.86
2011,22.10,5/06,13.30,12/19,16.38
2012,16.00,3/26,9.60,11/01,12.12
2013,17.65,8/01,10.05,1/10,13.93
2014,16.10,1/17,10.50,10/27,13.59
2015,11.80,3/16,7.22,8/24,9.82
2016,12.15,10/20,7.76,1/18,9.94
2017,16.05,12/04,9.91,1/03,11.35
