櫻花建,	2539
Year,最高價,日期,最低價,日期,收盤平均價
2000,11.40,2/15,0.98,11/22,3.96
2001,4.95,3/13,1.03,1/02,2.06
2002,6.25,4/26,1.12,12/04,2.19
2003,5.25,2/10,1.23,1/06,3.40
2004,25.40,9/10,10.15,1/12,19.21
2005,20.90,1/12,3.00,12/13,9.97
2006,6.06,12/14,2.78,4/26,4.39
2007,8.30,8/21,3.12,12/26,5.02
2008,31.00,4/03,3.55,1/07,12.99
2009,38.55,7/09,9.17,2/27,25.60
2010,31.20,1/04,20.20,9/07,24.18
2011,25.20,1/04,17.75,11/24,21.65
2012,22.05,4/26,16.50,1/30,19.54
2013,33.00,12/31,20.05,3/05,26.56
2014,43.90,7/30,31.00,10/27,36.34
2015,40.20,5/11,20.80,8/24,30.72
2016,31.10,4/01,23.00,1/11,26.54
2017,32.15,8/02,24.85,1/10,27.92
