宜特,	3289
Year,最高價,日期,最低價,日期,收盤平均價
2004,44.70,12/28,40.10,12/30,41.87
2005,72.80,07/28,34.90,01/12,52.82
2006,87.20,12/11,52.00,02/24,67.72
2007,96.30,07/25,50.00,12/17,78.84
2008,56.50,05/21,21.80,12/23,41.80
2009,44.50,05/27,22.25,01/21,32.92
2010,43.35,04/30,23.55,02/06,33.78
2011,35.30,04/21,16.60,11/24,29.00
2012,28.50,03/16,17.95,06/04,23.53
2013,31.10,02/25,23.05,07/08,26.59
2014,97.30,07/16,28.70,01/03,65.23
2015,116.50,07/16,63.50,08/25,91.49
2016,134.00,07/18,77.20,01/14,110.39
2017,126.00,10/19,88.50,01/17,110.25
