千附,	8383
Year,最高價,日期,最低價,日期,收盤平均價
2004,43.30,10/19,29.70,11/30,37.48
2005,42.20,03/29,21.10,11/10,32.92
2006,46.60,05/18,25.00,04/14,29.44
2007,60.50,07/25,30.20,02/01,44.67
2008,48.45,04/21,17.00,11/20,30.87
2009,41.00,08/05,21.35,01/05,32.34
2010,35.80,01/15,22.15,11/25,29.64
2011,38.90,05/10,18.20,12/20,29.98
2012,23.35,02/15,15.00,06/05,18.97
2013,27.40,10/30,17.30,01/02,22.71
2014,44.90,07/01,24.05,01/02,34.26
2015,66.20,10/07,33.50,05/05,46.65
2016,63.90,04/22,39.95,01/18,53.25
2017,54.80,03/23,44.20,09/29,49.94
