東聯,	1710
Year,最高價,日期,最低價,日期,收盤平均價
2000,30.90,2/23,6.25,11/24,16.76
2001,13.45,1/29,6.10,7/19,9.19
2002,34.10,12/20,10.50,2/26,21.08
2003,45.80,1/24,28.10,5/02,37.95
2004,47.50,1/07,27.80,8/09,36.57
2005,35.90,1/03,20.05,9/28,27.62
2006,23.30,5/10,17.25,9/14,20.42
2007,54.50,10/17,20.45,1/11,31.22
2008,46.50,5/20,10.90,10/28,26.86
2009,26.60,11/24,13.00,2/02,19.38
2010,39.30,12/23,22.00,2/06,27.61
2011,55.50,8/02,32.25,10/05,41.90
2012,44.80,2/03,29.50,11/01,36.30
2013,36.40,1/10,27.25,7/09,31.12
2014,32.20,1/10,21.00,10/17,28.19
2015,29.90,3/25,19.60,12/14,24.74
2016,24.90,12/16,18.35,1/18,20.53
2017,33.10,12/13,19.95,5/09,26.04
