可成,	2474
Year,最高價,日期,最低價,日期,收盤平均價
2001,71.00,12/13,24.00,9/19,43.03
2002,165.00,4/17,42.00,12/25,79.25
2003,124.50,12/05,45.80,1/28,78.23
2004,149.00,4/20,77.50,7/22,109.98
2005,330.50,8/08,94.00,2/15,185.32
2006,399.50,8/17,215.00,2/13,302.56
2007,382.00,1/23,156.00,12/18,267.00
2008,191.50,1/02,45.50,11/21,96.49
2009,100.50,5/25,54.30,1/21,79.79
2010,113.00,12/13,60.00,2/06,78.35
2011,277.50,7/28,104.00,1/06,170.10
2012,237.00,3/05,117.50,10/29,169.94
2013,201.00,12/11,123.00,1/24,153.41
2014,312.50,8/27,188.50,1/06,254.87
2015,402.00,7/01,242.50,1/07,328.00
2016,294.50,3/18,200.00,1/12,239.25
2017,399.00,8/07,212.50,1/12,318.22
2018,386.00,8/02,211.50,12/11,328.94
2019,285.50,11/04,182.00,6/10,234.66
