亞銳士,	6171
Year,最高價,日期,最低價,日期,收盤平均價
2002,47.80,06/20,13.45,09/25,23.18
2003,16.80,07/15,12.50,03/10,13.80
2004,17.90,02/26,9.15,12/29,12.19
2005,10.80,07/14,7.05,10/26,8.84
2006,14.80,11/03,7.53,03/16,9.88
2007,15.80,07/26,7.00,12/26,11.48
2008,11.75,04/24,4.49,12/29,6.99
2009,12.70,12/30,4.38,01/21,8.87
2010,14.35,03/03,9.60,11/24,12.54
2011,15.75,12/05,9.40,02/11,12.56
2012,24.95,03/23,14.50,01/02,19.30
2013,24.60,05/21,15.50,03/12,20.03
2014,19.75,03/26,14.70,11/12,17.18
2015,18.75,01/07,11.55,11/26,14.46
2016,13.85,01/11,9.60,06/27,11.45
2017,13.10,06/09,9.86,01/11,11.75
