永捷,	4714
Year,最高價,日期,最低價,日期,收盤平均價
2000,36.70,03/29,7.40,12/28,16.20
2001,10.45,03/19,3.20,10/30,6.32
2002,18.70,11/18,5.40,01/04,12.95
2003,19.20,12/04,14.30,07/16,16.02
2004,22.00,03/15,12.20,12/06,17.04
2005,13.80,01/05,5.56,11/09,9.60
2006,18.40,12/25,5.75,03/07,8.94
2007,19.15,03/02,8.73,12/21,14.70
2008,14.40,05/21,5.75,11/18,9.29
2009,16.70,11/05,5.82,02/18,13.00
2010,21.05,04/16,12.50,02/06,17.58
2011,26.85,02/16,10.50,12/20,21.99
2012,17.90,05/03,9.05,10/30,13.63
2013,13.05,07/05,10.35,04/18,11.81
2014,18.45,03/18,10.10,11/21,14.62
2015,15.30,06/03,6.82,08/25,12.28
2016,16.60,12/27,7.77,01/12,13.66
2017,18.25,11/13,11.60,05/18,15.21
