永裕,	1323
Year,最高價,日期,最低價,日期,收盤平均價
2000,8.50,9/13,6.05,10/24,7.20
2001,10.90,5/07,5.35,11/02,6.88
2002,13.10,11/19,6.60,1/23,9.26
2003,13.55,2/06,9.50,5/02,10.94
2004,13.35,3/04,8.30,11/02,11.01
2005,11.30,2/16,8.50,12/01,9.46
2006,10.15,12/27,7.68,6/09,8.42
2007,25.15,7/30,9.35,12/18,13.06
2008,18.45,4/24,7.55,10/28,11.37
2009,20.95,12/03,8.50,2/03,12.51
2010,28.80,12/07,14.50,2/06,21.23
2011,27.60,7/25,17.00,12/29,22.88
2012,23.90,8/22,16.60,1/16,20.53
2013,49.80,8/14,21.30,1/21,32.64
2014,42.80,3/04,28.70,10/17,35.63
2015,39.45,4/07,19.75,8/25,30.30
2016,37.60,11/10,22.50,1/18,31.95
2017,42.00,12/22,30.00,8/14,33.31
2018,41.00,1/09,31.70,10/25,35.50
