福大,	4402
Year,最高價,日期,最低價,日期,收盤平均價
2000,11.60,02/15,4.00,11/14,7.13
2001,6.95,02/02,2.65,11/27,4.27
2002,5.25,03/26,2.80,09/20,3.60
2003,3.90,01/24,1.73,04/29,2.55
2004,4.85,10/04,2.84,01/02,3.77
2005,4.07,01/04,2.53,08/29,2.94
2006,4.40,12/27,2.55,01/13,3.30
2007,6.42,07/09,3.07,12/20,4.38
2008,4.08,04/18,1.34,12/05,2.75
2009,5.43,12/15,0.80,03/04,2.16
2010,12.05,08/30,4.85,01/04,8.85
2011,13.00,01/17,8.11,12/15,11.19
2012,10.60,02/17,6.00,11/02,8.74
2013,12.25,08/27,6.85,05/10,10.37
2014,10.90,03/11,3.35,10/16,8.16
2015,7.75,01/07,3.22,08/27,5.27
2016,6.20,11/11,3.60,04/07,4.89
2017,19.50,10/06,4.25,04/24,13.14
