亞力,	1514
Year,最高價,日期,最低價,日期,收盤平均價
2000,24.30,2/15,8.25,11/21,15.72
2001,13.30,2/13,6.35,10/18,9.31
2002,12.35,4/03,6.40,10/08,8.97
2003,10.65,1/23,5.95,5/02,7.37
2004,9.45,3/15,5.85,5/17,6.99
2005,7.80,1/04,5.03,10/21,6.23
2006,8.38,12/29,5.07,3/15,6.24
2007,14.60,10/29,7.19,3/05,9.44
2008,12.25,5/22,4.16,11/20,8.14
2009,16.50,12/08,4.31,3/03,7.39
2010,15.90,4/02,9.90,2/09,12.43
2011,13.00,6/09,6.47,12/20,10.08
2012,9.32,8/23,6.83,1/16,8.34
2013,10.85,12/27,8.41,1/31,9.31
2014,11.15,2/14,7.90,10/27,9.33
2015,10.70,4/16,7.02,8/25,8.80
2016,11.20,9/12,7.80,1/18,9.60
2017,12.40,12/26,9.50,1/10,10.44
