花仙子,	1730
Year,最高價,日期,最低價,日期,收盤平均價
2001,11.50,10/11,8.45,12/04,9.69
2002,17.60,6/18,8.20,10/08,11.22
2003,14.35,6/24,8.75,3/13,11.10
2004,13.90,2/04,8.60,8/17,10.44
2005,15.00,11/22,8.95,1/28,10.28
2006,13.20,3/10,10.55,7/17,11.64
2007,20.25,7/26,10.55,12/18,13.65
2008,16.35,5/15,6.87,10/28,11.16
2009,21.50,8/27,7.92,3/03,13.98
2010,21.80,9/09,12.70,2/06,17.54
2011,22.20,2/21,14.80,12/09,18.55
2012,19.90,8/24,16.00,1/13,17.65
2013,28.60,12/18,17.65,1/09,20.73
2014,31.30,7/14,24.60,2/05,27.62
2015,40.50,11/27,24.45,8/26,31.70
2016,39.80,4/19,32.90,1/07,36.81
2017,43.00,6/21,38.00,1/20,40.28
