麗臺,	2465
Year,最高價,日期,最低價,日期,收盤平均價
2001,52.50,12/26,23.80,9/24,35.79
2002,52.00,1/03,14.10,10/08,30.99
2003,19.50,3/14,12.20,11/03,15.13
2004,23.50,3/08,11.85,7/20,16.62
2005,20.50,7/15,7.54,11/08,14.43
2006,12.10,1/10,4.61,9/15,8.43
2007,29.00,7/26,8.81,3/14,16.05
2008,15.35,1/02,2.36,11/21,8.78
2009,12.80,12/30,2.90,2/02,6.04
2010,19.90,1/19,10.30,10/20,13.35
2011,11.70,1/04,3.67,10/04,7.55
2012,7.38,3/14,3.81,11/21,5.29
2013,11.50,12/31,4.18,3/20,5.32
2014,15.55,3/14,9.00,1/21,11.98
2015,15.85,6/03,6.66,8/25,10.71
2016,12.20,1/27,7.70,5/12,9.12
2017,26.00,11/24,5.08,4/17,9.70
2018,40.45,3/07,10.00,11/23,18.44
2019,14.60,6/27,10.00,1/04,11.68
