驊宏資,	6148
Year,最高價,日期,最低價,日期,收盤平均價
2002,50.00,03/19,20.50,12/31,32.92
2003,23.00,01/13,10.60,12/31,15.24
2004,13.20,02/26,3.88,09/23,7.44
2005,6.63,07/06,3.30,01/20,4.89
2006,9.00,12/22,3.98,04/03,5.49
2007,9.21,04/23,4.04,12/21,6.88
2008,6.06,05/22,1.58,11/21,3.67
2009,7.43,12/17,1.82,02/23,3.98
2010,14.10,07/30,5.61,02/06,9.25
2011,9.24,05/25,3.95,12/19,7.33
2012,6.97,09/13,4.20,01/02,5.83
2013,7.59,08/26,5.10,02/18,6.43
2014,13.90,07/25,6.83,01/03,10.24
2015,10.30,03/27,5.90,08/26,8.60
2016,8.99,03/11,4.70,12/19,7.19
2017,6.14,03/15,4.60,11/16,5.14
