太欣,	5302
Year,最高價,日期,最低價,日期,收盤平均價
2000,96.50,04/11,27.80,12/27,54.06
2001,51.50,02/02,9.80,10/08,27.01
2002,29.20,04/08,10.60,10/11,18.13
2003,12.80,01/13,7.00,09/10,9.46
2004,21.80,04/06,8.45,01/06,12.39
2005,14.25,03/15,8.52,10/19,11.43
2006,19.50,12/12,8.82,07/19,11.87
2007,67.90,07/25,17.40,01/05,37.51
2008,36.85,05/08,7.50,12/29,19.58
2009,23.45,05/22,6.20,02/03,16.19
2010,20.20,01/04,11.00,10/25,15.31
2011,15.80,04/18,5.62,12/12,12.03
2012,9.60,02/08,5.60,11/05,8.01
2013,10.60,05/22,5.75,04/15,8.64
2014,10.10,01/10,6.54,12/01,8.72
2015,8.83,01/28,3.83,08/25,7.03
2016,7.48,10/28,4.61,06/27,5.80
2017,9.20,05/19,5.47,08/14,7.12
