智基,	6294
Year,最高價,日期,最低價,日期,收盤平均價
2004,36.80,01/14,6.30,11/02,16.46
2005,7.19,04/01,3.70,10/19,5.70
2006,6.75,01/06,1.29,12/04,3.29
2007,5.50,03/15,1.54,01/23,3.01
2008,2.89,01/03,0.46,12/30,1.84
2009,3.10,05/07,0.34,02/02,1.52
2010,42.80,02/23,1.08,01/14,5.48
2011,49.45,03/16,23.10,02/24,37.27
2012,54.00,05/04,31.35,03/23,43.84
2013,85.70,01/23,23.45,11/20,41.95
2014,49.70,04/10,30.20,11/24,37.94
2015,188.00,06/12,33.00,01/08,121.09
2016,162.50,08/10,74.00,01/15,124.93
2017,133.00,02/10,100.00,10/23,115.91
