臺龍,	6246
Year,最高價,日期,最低價,日期,收盤平均價
2003,52.50,07/16,30.30,11/04,37.83
2004,33.40,02/26,11.00,11/02,19.82
2005,12.00,02/24,3.94,11/10,7.09
2006,9.10,04/21,4.56,09/15,6.29
2007,13.40,07/26,4.09,12/18,8.28
2008,5.10,03/07,2.01,12/31,3.61
2009,18.90,11/16,1.79,01/13,12.78
2010,27.45,10/15,13.75,06/09,20.29
2011,39.00,03/07,9.35,12/20,26.07
2012,16.90,02/16,9.10,08/07,13.03
2013,10.25,01/02,4.85,11/11,7.80
2014,9.51,04/10,2.73,10/16,7.46
2015,4.97,02/06,1.62,12/03,3.69
2016,28.00,11/07,1.99,05/20,4.69
2017,34.10,04/05,17.00,01/09,25.77
