台榮,	1220
Year,最高價,日期,最低價,日期,收盤平均價
2000,18.00,2/21,6.00,12/27,10.08
2001,7.40,2/21,4.75,9/13,5.79
2002,7.45,4/25,4.10,10/08,5.57
2003,6.20,1/17,3.92,5/22,4.52
2004,8.60,2/12,4.21,10/29,5.61
2005,6.50,2/18,5.31,4/18,5.86
2006,9.54,5/10,5.40,1/17,7.23
2007,16.20,7/19,7.43,1/12,9.93
2008,13.65,5/26,4.55,10/28,8.52
2009,9.40,12/30,4.85,2/02,6.55
2010,16.00,8/04,8.40,3/16,11.36
2011,16.45,5/12,8.71,12/19,12.35
2012,11.95,3/05,9.30,1/04,10.39
2013,11.25,7/23,9.70,9/23,10.38
2014,11.25,7/22,9.76,2/05,10.17
2015,11.15,3/20,9.60,9/30,10.34
2016,12.45,6/20,9.81,10/12,10.74
2017,11.60,2/03,10.00,8/04,10.61
