飛寶企業,	4413
Year,最高價,日期,最低價,日期,收盤平均價
2000,28.80,04/20,3.78,12/28,13.29
2001,13.20,05/14,2.98,10/09,6.67
2002,10.60,12/11,3.85,01/04,7.19
2003,15.30,01/21,5.45,08/28,8.68
2004,16.80,03/19,3.68,10/01,10.12
2005,5.20,01/21,0.99,11/30,3.07
2006,5.27,12/29,0.91,04/18,1.65
2007,23.80,08/06,5.63,01/02,13.95
2008,12.45,02/20,2.80,11/18,8.73
2009,8.34,08/06,3.16,12/29,5.24
2010,5.89,01/15,2.28,07/09,3.73
2011,5.20,04/11,2.43,11/11,3.73
2012,10.80,05/11,2.45,04/06,3.34
2013,8.50,12/18,3.21,05/27,6.42
2014,11.85,04/09,4.50,11/13,8.69
2015,34.00,06/15,4.80,01/19,13.51
2017,19.20,12/04,6.12,03/29,11.83
