飛捷,	6206
Year,最高價,日期,最低價,日期,收盤平均價
2004,57.00,8/27,42.80,12/23,46.43
2005,61.50,8/10,38.00,11/08,47.52
2006,77.40,3/16,49.30,1/02,62.27
2007,177.00,9/03,72.30,1/02,114.52
2008,130.00,4/17,32.55,10/28,77.95
2009,93.50,9/21,41.50,2/23,69.18
2010,98.00,5/12,72.50,2/06,83.40
2011,93.50,6/01,50.60,12/19,72.58
2012,77.60,3/14,56.00,1/03,66.80
2013,128.00,7/24,67.70,1/07,93.22
2014,140.50,7/09,99.00,2/11,118.83
2015,136.00,6/03,78.00,8/25,111.67
2016,118.50,3/22,89.70,1/18,104.99
2017,105.00,3/01,79.30,12/11,94.92
