中環,	2323
Year,最高價,日期,最低價,日期,收盤平均價
2000,213.00,4/05,23.90,12/30,100.62
2001,47.80,3/27,18.70,10/03,32.49
2002,31.60,4/04,11.25,9/05,21.04
2003,29.30,7/02,13.95,1/02,22.20
2004,32.70,4/22,13.60,11/02,20.65
2005,17.30,1/03,10.35,11/08,13.34
2006,12.20,1/06,7.85,8/23,9.90
2007,19.90,7/30,8.98,3/05,12.02
2008,11.95,4/21,3.70,11/19,8.22
2009,9.20,4/16,4.43,1/21,7.12
2010,10.05,1/19,7.42,11/30,8.28
2011,8.24,1/06,4.16,12/20,6.22
2012,6.15,3/05,3.98,11/22,4.92
2013,6.32,6/06,4.50,1/17,5.08
2014,5.30,1/16,4.02,12/01,4.67
2015,4.66,1/05,2.38,8/25,3.74
2016,4.10,7/27,3.00,5/12,3.60
2017,4.89,9/12,3.45,1/17,4.04
2018,14.15,6/07,4.04,2/09,6.68
