力特,	3051
Year,最高價,日期,最低價,日期,收盤平均價
2002,57.50,12/04,37.50,10/29,49.07
2003,116.00,10/17,37.30,3/06,69.58
2004,150.00,4/22,59.00,10/27,98.64
2005,96.70,4/04,38.95,10/27,69.39
2006,64.10,1/10,21.30,10/02,31.94
2007,23.90,7/12,9.82,12/18,17.39
2008,14.45,5/23,0.67,11/28,6.43
2009,2.26,4/15,0.73,1/20,1.36
2010,11.10,8/19,2.28,2/09,4.88
2011,5.81,1/03,1.21,10/04,2.67
2012,3.17,9/11,1.37,5/25,2.02
2013,8.55,6/04,1.85,3/27,4.55
2014,7.45,1/09,4.37,10/28,5.66
2015,16.20,2/10,4.58,8/26,9.55
2016,7.11,3/23,3.00,11/14,4.56
2017,6.78,11/22,3.46,8/14,4.37
