華建,	2530
Year,最高價,日期,最低價,日期,收盤平均價
2000,16.40,2/21,1.94,11/22,7.75
2001,5.60,2/26,1.06,12/03,2.23
2002,5.95,4/26,1.49,1/02,2.57
2003,4.93,11/06,1.28,5/22,3.15
2004,8.00,3/15,2.00,8/27,4.73
2005,6.40,1/03,2.64,11/08,4.18
2006,10.00,12/01,3.72,3/29,5.27
2007,13.50,7/24,5.70,12/21,8.97
2008,12.60,4/21,2.43,10/30,6.48
2009,12.80,10/22,2.40,3/03,6.78
2010,18.05,12/17,10.20,2/06,13.16
2011,18.05,1/04,8.13,11/24,13.16
2012,11.40,2/23,7.77,6/04,9.43
2013,13.35,12/02,8.79,1/02,11.05
2014,20.40,4/23,11.55,1/09,14.49
2015,19.65,3/20,14.50,12/04,17.22
2016,19.65,3/28,13.00,11/09,15.21
2017,18.35,3/21,13.20,1/23,14.25
2018,16.80,3/15,14.65,2/09,15.54
