訊舟,	3047
Year,最高價,日期,最低價,日期,收盤平均價
2002,32.00,8/26,24.30,10/11,26.33
2003,26.40,1/07,10.25,9/10,16.77
2004,16.40,1/14,4.13,12/01,9.12
2005,12.30,12/30,5.15,4/29,8.04
2006,17.60,6/30,11.55,1/24,14.72
2007,44.70,6/25,16.45,1/02,31.85
2008,33.90,4/25,8.75,11/10,22.59
2009,28.25,12/16,9.00,3/04,13.87
2010,30.40,3/30,17.80,9/01,22.88
2011,20.10,1/12,9.20,8/11,14.08
2012,16.10,2/16,9.58,6/04,11.85
2013,14.50,7/25,11.80,4/16,12.83
2014,16.40,4/25,10.60,10/16,13.29
2015,13.20,1/19,6.29,8/25,10.76
2016,13.25,1/28,9.51,5/19,10.59
2017,11.90,3/23,9.61,12/20,10.51
2018,11.55,7/02,7.66,5/16,9.29
2019,12.75,5/13,8.91,1/04,10.46
