中福,	1435
Year,最高價,日期,最低價,日期,收盤平均價
2000,15.40,2/15,8.95,8/30,11.77
2001,12.55,4/26,8.40,3/21,10.49
2002,12.50,12/24,8.75,11/18,10.91
2003,15.30,9/26,8.00,8/18,10.75
2004,13.10,2/09,5.20,11/05,7.62
2005,17.15,11/30,5.00,5/23,9.18
2006,15.40,3/10,4.68,9/07,9.40
2007,16.80,7/25,4.92,1/22,8.60
2008,9.36,5/19,1.91,12/24,4.87
2009,6.01,10/29,1.72,2/04,3.32
2010,11.30,9/06,4.04,2/06,6.89
2011,8.80,1/04,3.11,12/20,5.40
2012,7.90,10/23,3.20,7/24,4.63
2013,7.26,6/07,5.36,4/16,6.27
2014,8.00,2/25,5.41,10/27,6.33
2015,6.73,2/25,4.01,8/25,5.46
2016,5.09,3/07,3.83,11/18,4.47
2017,7.25,2/22,4.02,1/04,5.47
2018,6.24,4/03,5.02,10/29,5.49
