智原,	3035
Year,最高價,日期,最低價,日期,收盤平均價
2002,105.00,8/30,71.50,10/14,87.27
2003,103.00,8/19,70.50,5/02,81.28
2004,89.00,2/19,42.10,10/26,63.04
2005,70.00,8/10,49.10,10/28,58.11
2006,85.00,12/27,46.20,10/30,54.90
2007,174.00,7/26,60.30,12/21,104.18
2008,76.10,1/02,20.80,11/21,49.86
2009,70.70,12/30,26.20,2/02,50.37
2010,70.00,1/05,47.70,5/25,57.09
2011,65.40,1/20,21.50,11/24,38.55
2012,52.70,3/02,28.10,1/02,41.11
2013,42.20,12/31,29.50,6/25,34.18
2014,47.70,3/11,29.00,10/16,38.27
2015,55.80,11/04,22.00,8/25,40.83
2016,49.90,2/18,25.65,11/10,36.15
2017,67.80,11/30,30.10,1/03,42.07
2018,83.40,1/29,28.00,10/30,58.47
