信音,	6126
Year,最高價,日期,最低價,日期,收盤平均價
2002,60.50,04/16,13.95,10/14,30.06
2003,27.90,11/10,14.30,05/15,19.45
2004,32.20,04/19,12.60,10/18,19.55
2005,20.85,12/26,10.65,04/28,14.65
2006,91.40,12/15,18.20,01/23,37.85
2007,92.20,01/02,33.50,12/21,54.20
2008,35.80,01/02,9.00,12/05,20.64
2009,47.80,12/31,9.02,01/20,30.40
2010,51.90,01/20,27.50,08/31,41.08
2011,39.30,01/19,18.45,09/26,30.27
2012,35.00,03/09,19.80,01/16,28.00
2013,22.25,01/29,12.95,12/03,17.71
2014,18.85,02/27,10.95,10/27,16.01
2015,14.80,01/28,6.98,08/24,10.77
2016,12.95,12/28,6.68,05/20,10.17
2017,16.30,09/15,11.65,05/09,13.70
