美律,	2439
Year,最高價,日期,最低價,日期,收盤平均價
2000,128.00,9/11,48.00,12/28,87.18
2001,97.00,2/16,30.60,10/09,64.46
2002,70.50,1/18,32.10,12/20,48.09
2003,65.50,10/06,35.20,1/20,48.02
2004,90.50,4/22,58.00,1/15,74.62
2005,99.30,12/29,66.50,2/02,78.41
2006,124.00,9/05,82.80,12/05,105.09
2007,144.00,10/05,87.50,3/06,111.41
2008,102.50,1/02,20.30,11/21,55.58
2009,68.00,12/31,22.80,1/21,37.96
2010,67.90,1/04,42.75,6/10,53.71
2011,55.90,1/07,27.50,8/22,39.73
2012,59.50,5/03,32.60,11/01,42.51
2013,178.00,12/31,38.50,1/25,73.11
2014,195.00,3/17,101.50,12/01,153.43
2015,115.00,1/15,30.00,8/25,70.88
2016,139.50,10/04,48.40,1/08,86.80
2017,255.00,8/02,117.50,1/10,188.45
2018,206.50,1/03,112.00,11/13,150.19
2019,197.50,4/25,120.00,1/04,159.50
