永信建,	5508
Year,最高價,日期,最低價,日期,收盤平均價
2000,25.10,02/23,8.20,11/30,17.30
2001,14.20,01/02,10.70,09/06,11.98
2002,12.70,08/16,11.20,04/30,11.97
2003,15.80,12/30,11.90,03/07,13.48
2004,57.50,12/23,15.80,01/02,32.18
2005,62.00,04/22,40.50,01/13,46.28
2006,58.60,07/06,41.50,08/21,46.27
2007,58.00,07/12,42.60,08/16,48.53
2008,93.50,04/18,26.70,10/27,54.02
2009,74.80,08/04,30.55,01/21,51.91
2010,51.00,01/15,28.20,11/04,38.13
2011,36.10,06/29,26.25,09/26,32.56
2012,57.40,09/07,26.85,01/13,46.11
2013,87.20,05/10,51.70,01/02,72.72
2014,82.10,04/22,59.80,09/10,72.10
2015,66.50,01/05,26.95,12/15,48.34
2016,32.80,03/07,21.35,11/15,27.51
2017,34.80,09/19,22.50,01/03,29.63
