建榮,	5340
Year,最高價,日期,最低價,日期,收盤平均價
2000,39.80,04/10,5.30,12/07,19.93
2001,14.05,02/15,3.50,11/05,7.20
2002,14.45,04/25,4.00,10/14,7.20
2003,8.15,12/26,3.46,05/05,5.29
2004,15.20,10/06,7.70,01/16,10.87
2005,10.80,03/10,5.10,11/08,7.45
2006,9.80,01/10,6.14,07/05,7.36
2007,12.05,07/25,6.42,12/24,8.22
2008,8.19,04/22,2.29,11/24,5.44
2009,9.10,09/21,2.70,01/20,6.81
2010,12.70,06/24,6.33,02/08,9.88
2011,9.89,02/21,4.90,11/22,8.13
2012,7.52,03/12,4.72,12/27,6.07
2013,5.84,02/06,3.97,11/27,4.89
2014,6.17,03/13,4.27,01/02,5.19
2015,5.43,02/25,3.14,08/26,4.64
2016,5.63,11/07,3.03,01/14,4.65
2017,13.35,11/10,4.95,01/04,9.72
