海德威,	3268
Year,最高價,日期,最低價,日期,收盤平均價
2005,60.00,03/25,23.50,01/28,38.98
2006,190.00,04/13,41.20,02/21,116.27
2007,149.00,01/24,53.00,12/28,93.58
2008,71.50,03/10,11.05,11/18,38.77
2009,39.85,07/21,11.55,01/21,30.72
2010,41.90,04/14,24.90,02/08,34.89
2011,27.90,01/13,7.27,12/13,17.90
2012,14.30,02/04,6.36,11/01,10.97
2013,20.15,12/31,6.91,01/02,11.02
2014,40.50,06/11,16.50,01/10,29.00
2015,38.25,03/25,10.15,08/25,25.66
2016,15.50,03/07,10.45,11/17,12.94
2017,16.95,05/04,11.20,01/03,14.56
