迎廣,	6117
Year,最高價,日期,最低價,日期,收盤平均價
2003,72.00,12/31,48.00,9/10,54.29
2004,83.00,2/24,13.45,11/02,33.04
2005,24.20,7/20,13.00,4/20,16.84
2006,19.20,11/17,12.90,6/08,15.28
2007,28.45,4/03,13.30,12/19,21.11
2008,20.80,5/22,11.20,10/30,14.53
2009,19.55,12/31,10.75,1/21,14.67
2010,30.85,1/19,14.30,11/08,20.16
2011,21.35,3/08,12.05,8/09,15.58
2012,16.70,3/23,10.40,11/22,13.05
2013,16.15,11/08,11.05,1/18,13.95
2014,27.95,8/05,13.55,2/05,18.51
2015,18.60,4/20,10.35,8/25,14.69
2016,15.75,7/11,12.80,12/26,14.15
2017,22.65,4/21,13.20,1/10,17.32
