勤美,	1532
Year,最高價,日期,最低價,日期,收盤平均價
2000,24.50,9/15,14.40,11/21,18.13
2001,25.80,3/01,12.30,9/19,17.56
2002,33.90,12/19,14.95,1/04,23.87
2003,36.60,4/14,25.80,4/28,30.59
2004,58.00,3/15,30.50,1/14,39.65
2005,38.90,1/03,17.20,10/18,26.29
2006,76.80,11/14,24.20,1/02,46.21
2007,71.90,1/02,31.45,12/25,52.45
2008,70.80,4/17,15.20,11/21,40.48
2009,47.00,12/14,15.65,1/21,31.49
2010,49.50,1/07,30.60,10/22,38.63
2011,35.50,1/05,17.40,12/20,27.18
2012,30.00,10/24,16.55,7/26,21.82
2013,48.30,9/09,27.00,1/07,40.06
2014,41.35,1/02,22.50,12/01,33.04
2015,33.50,1/19,20.55,8/24,28.68
2016,43.20,7/05,23.70,1/21,31.72
2017,33.40,3/21,26.40,11/20,30.08
2018,39.50,12/24,27.00,2/06,30.48
2019,40.70,1/11,30.05,8/30,34.38
